Date Of Death Year,Date Of Death Month,Region,AgeGroup,RaceEthnicity,"COVID-19 (U071, Multiple Cause of Death)",Sex,Place Of Death,AnalysisDate,Note,flag_cov19mcod
2020,05,Midwest,1-4 Years,Hispanic,0,All Sexes,All Places of Death,2020-10-12,"Data are provisional, and values in the most recent months are incomplete.",
2020,05,Midwest,1-4 Years,Non-Hispanic American Indian or Alaska Native,0,All Sexes,All Places of Death,2020-10-12,"Data are provisional, and values in the most recent months are incomplete.",
2020,05,Midwest,1-4 Years,Non-Hispanic Asian,0,All Sexes,All Places of Death,2020-10-12,"Data are provisional, and values in the most recent months are incomplete.",
2020,05,Midwest,1-4 Years,Non-Hispanic Black,0,All Sexes,All Places of Death,2020-10-12,"Data are provisional, and values in the most recent months are incomplete.",
2020,05,Midwest,1-4 Years,Non-Hispanic White,,All Sexes,All Places of Death,2020-10-12,"Data are provisional, and values in the most recent months are incomplete.",Suppressed (counts 1-9)
2020,05,Midwest,1-4 Years,Other,0,All Sexes,All Places of Death,2020-10-12,"Data are provisional, and values in the most recent months are incomplete.",
2020,05,Midwest,18-29 years,Hispanic,10,All Sexes,All Places of Death,2020-10-12,"Data are provisional, and values in the most recent months are incomplete.",
2020,05,Midwest,18-29 years,Non-Hispanic American Indian or Alaska Native,0,All Sexes,All Places of Death,2020-10-12,"Data are provisional, and values in the most recent months are incomplete.",
2020,05,Midwest,18-29 years,Non-Hispanic Asian,,All Sexes,All Places of Death,2020-10-12,"Data are provisional, and values in the most recent months are incomplete.",Suppressed (counts 1-9)
2020,05,Midwest,18-29 years,Non-Hispanic Black,,All Sexes,All Places of Death,2020-10-12,"Data are provisional, and values in the most recent months are incomplete.",Suppressed (counts 1-9)
2020,05,Midwest,18-29 years,Non-Hispanic White,,All Sexes,All Places of Death,2020-10-12,"Data are provisional, and values in the most recent months are incomplete.",Suppressed (counts 1-9)
2020,05,Midwest,18-29 years,Other,,All Sexes,All Places of Death,2020-10-12,"Data are provisional, and values in the most recent months are incomplete.",Suppressed (counts 1-9)
2020,05,Midwest,30-39 years,Hispanic,43,All Sexes,All Places of Death,2020-10-12,"Data are provisional, and values in the most recent months are incomplete.",
2020,05,Midwest,30-39 years,Non-Hispanic American Indian or Alaska Native,,All Sexes,All Places of Death,2020-10-12,"Data are provisional, and values in the most recent months are incomplete.",Suppressed (counts 1-9)
2020,05,Midwest,30-39 years,Non-Hispanic Asian,,All Sexes,All Places of Death,2020-10-12,"Data are provisional, and values in the most recent months are incomplete.",Suppressed (counts 1-9)
2020,05,Midwest,30-39 years,Non-Hispanic Black,24,All Sexes,All Places of Death,2020-10-12,"Data are provisional, and values in the most recent months are incomplete.",
2020,05,Midwest,30-39 years,Non-Hispanic White,19,All Sexes,All Places of Death,2020-10-12,"Data are provisional, and values in the most recent months are incomplete.",
2020,05,Midwest,30-39 years,Other,,All Sexes,All Places of Death,2020-10-12,"Data are provisional, and values in the most recent months are incomplete.",Suppressed (counts 1-9)
2020,05,Midwest,40-49 years,Hispanic,104,All Sexes,All Places of Death,2020-10-12,"Data are provisional, and values in the most recent months are incomplete.",
